time,dir,queue,vehicles,mean_speed,lane_count,lane_configs,bus_count,bus_routes
353.0,E,0,0,0,5,L0(s)|L1(s)|L2(s) / L0(s)|L1(ls),0,
353.0,S,0,2,57.33,6,L0(rs)|L1(s)|L2(lt) / L0(s)|L1(s)|L2(s),0,
354.0,W,0,0,0,4,L0(s)|L1(lst) / L0(s)|L1(s),0,
354.0,N,0,1,87.1,6,L0(s)|L1(s)|L2(s) / L0(s)|L1(s)|L2(l),0,
354.0,E,0,0,0,5,L0(s)|L1(s)|L2(s) / L0(s)|L1(ls),0,
354.0,S,0,2,55.12,6,L0(rs)|L1(s)|L2(lt) / L0(s)|L1(s)|L2(s),0,
355.0,W,0,0,0,4,L0(s)|L1(lst) / L0(s)|L1(s),0,
355.0,N,0,1,84.4,6,L0(s)|L1(s)|L2(s) / L0(s)|L1(s)|L2(l),0,
355.0,E,0,0,0,5,L0(s)|L1(s)|L2(s) / L0(s)|L1(ls),0,
355.0,S,0,2,52.87,6,L0(rs)|L1(s)|L2(lt) / L0(s)|L1(s)|L2(s),0,
356.0,W,0,0,0,4,L0(s)|L1(lst) / L0(s)|L1(s),0,
356.0,N,0,1,83.57,6,L0(s)|L1(s)|L2(s) / L0(s)|L1(s)|L2(l),0,
356.0,E,0,0,0,5,L0(s)|L1(s)|L2(s) / L0(s)|L1(ls),0,
356.0,S,0,2,50.52,6,L0(rs)|L1(s)|L2(lt) / L0(s)|L1(s)|L2(s),0,
357.0,W,0,0,0,4,L0(s)|L1(lst) / L0(s)|L1(s),0,
357.0,N,0,1,83.4,6,L0(s)|L1(s)|L2(s) / L0(s)|L1(s)|L2(l),0,
357.0,E,0,0,0,5,L0(s)|L1(s)|L2(s) / L0(s)|L1(ls),0,
357.0,S,0,2,49.93,6,L0(rs)|L1(s)|L2(lt) / L0(s)|L1(s)|L2(s),0,
358.0,W,0,0,0,4,L0(s)|L1(lst) / L0(s)|L1(s),0,
358.0,N,1,1,83.36,6,L0(s)|L1(s)|L2(s) / L0(s)|L1(s)|L2(l),0,
